course_id,dept_code,title_zh,title_en,note_red,note_blue,teacher,credit,required_type,half_whole,capacity,priority_url,syallabus_url,raw_time_classroom,category,subcategory
11001CL0126-*,中國文學系,國文（A）經典閱讀：傳統節氣作品選讀,Chinese (A)： Season Celebrates and Literature,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],李宜學,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11001&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11001&outline=11001&semester=1142,四34/C2-106二2/C2-106 (文學二館-106 ),,
11002CL0127-A,中國文學系,國文（A）經典閱讀：古典小說選讀,Chinese (A)：Readings of Selected Classical Chinese Novels,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],康珮,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11002&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11002&outline=11002&semester=1142,三34/C2-101一5/C2-101 (文學二館-101 ),,
11003CL0127-B,中國文學系,國文（A）經典閱讀：古典小說選讀,Chinese (A)：Readings of Selected Classical Chinese Novels,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],康珮,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11003&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11003&outline=11003&semester=1142,四34/C2-101二2/C2-101 (文學二館-101 ),,
11004CL0127-C,中國文學系,國文（A）經典閱讀：古典小說選讀,Chinese (A)：Readings of Selected Classical Chinese Novels,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],康珮,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11004&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11004&outline=11004&semester=1142,五34/C2-101三5/C2-101 (文學二館-101 ),,
11005CL0128-*,中國文學系,國文（A）經典閱讀：唐宋詩選讀,Chinese (A)：Introduction to the Poetry of the Tang and the Sung Dynasty,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],鄭芳祥,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11005&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11005&outline=11005&semester=1142,三34/C2-113五5/C2-113 (文學二館-113 ),,
11006CL0131-*,中國文學系,國文（A）經典閱讀：都市文學選讀,Chinese (A)：Urban and Literature,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],呂文翠,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11006&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11006&outline=11006&semester=1142,三34/C2-110一5/C2-110 (文學二館-110 ),,
11007CL0132-*,中國文學系,國文（A）經典閱讀：中國哲學選讀,Chinese (A)：Chinese Philosophy and Life,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],劉德明,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11007&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11007&outline=11007&semester=1142,二2/C2-110四34/C2-110 (文學二館-110 ),,
11008CL0133-*,中國文學系,國文（A）經典閱讀：小說戲曲選讀,Chinese (A)：Chinese Literature and Cultural Art,,[密碼卡:部份使用][預選],王照璵,3,必修,半,80.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11008&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11008&outline=11008&semester=1142,一6/C2-110五34/TR-A205 (教研大樓-A205 ),,
11009CL0134-*,中國文學系,國文（A）經典閱讀：古典文學選讀,Chinese (A)：Literature and Life,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],廖湘美,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11009&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11009&outline=11009&semester=1142,三34/C2-107一5/C2-107 (文學二館-107 ),,
11010CL0137-*,中國文學系,國文（A）經典閱讀：近現代散文選讀,Chinese (A)：The Classification Analysis of Modern Prose,密碼卡僅發給高級組僑生，不發給一般生。,[密碼卡:部份使用],張克濟,3,必修,半,58.0,https://cis.ncu.edu.tw//Course/main/query/byKeywords?limit=11010&semester=1142,https://cis.ncu.edu.tw//Course/main/query/byKeywords?serialNo=11010&outline=11010&semester=1142,五34/C2-110三5/C2-110 (文學二館-110 ),,
