dept_year,course_id,new_dept,new_year
中國文學系不分類,11001CL0126-*,中國文學系,不分類
中國文學系不分類,11002CL0127-A,中國文學系,不分類
中國文學系不分類,11003CL0127-B,中國文學系,不分類
中國文學系不分類,11004CL0127-C,中國文學系,不分類
中國文學系不分類,11005CL0128-*,中國文學系,不分類
中國文學系不分類,11006CL0131-*,中國文學系,不分類
中國文學系不分類,11007CL0132-*,中國文學系,不分類
中國文學系不分類,11008CL0133-*,中國文學系,不分類
中國文學系不分類,11009CL0134-*,中國文學系,不分類
中國文學系不分類,11010CL0137-*,中國文學系,不分類
中國文學系不分類,11011CL0139-*,中國文學系,不分類
中國文學系不分類,11012CL0143-*,中國文學系,不分類
中國文學系不分類,11013CL0144-*,中國文學系,不分類
中國文學系不分類,11014CL0148-*,中國文學系,不分類
中國文學系不分類,11015CL0149-*,中國文學系,不分類
中國文學系不分類,11016CL0151-*,中國文學系,不分類
中國文學系不分類,11017CL0201-A,中國文學系,不分類
中國文學系不分類,11018CL0201-B,中國文學系,不分類
中國文學系不分類,11019CL0201-C,中國文學系,不分類
中國文學系不分類,11020CL0201-D,中國文學系,不分類
中國文學系不分類,11021CL0201-E,中國文學系,不分類
中國文學系不分類,11022CL0201-F,中國文學系,不分類
中國文學系不分類,11023CL0201-G,中國文學系,不分類
中國文學系不分類,11024CL0201-H,中國文學系,不分類
中國文學系不分類,11025CL0201-I,中國文學系,不分類
中國文學系不分類,11026CL0201-J,中國文學系,不分類
中國文學系不分類,11027CL0201-K,中國文學系,不分類
中國文學系不分類,11028CL0201-L,中國文學系,不分類
中國文學系不分類,11029CL0201-M,中國文學系,不分類
中國文學系不分類,11030CL0201-N,中國文學系,不分類
中國文學系不分類,11031CL0201-O,中國文學系,不分類
中國文學系不分類,11032CL0201-P,中國文學系,不分類
中國文學系不分類,11033CL0201-Q,中國文學系,不分類
中國文學系不分類,11034CL0201-R,中國文學系,不分類
中國文學系不分類,11035CL0201-S,中國文學系,不分類
中國文學系不分類,11036CL0201-T,中國文學系,不分類
中國文學系不分類,11037CL0201-U,中國文學系,不分類
中國文學系不分類,11038CL0201-V,中國文學系,不分類
中國文學系不分類,11039CL0201-W,中國文學系,不分類
中國文學系不分類,11040CL0201-X,中國文學系,不分類
中國文學系不分類,11041CL0201-Y,中國文學系,不分類
中國文學系不分類,11042CL0201-Z,中國文學系,不分類
中國文學系不分類,11043CL1004-*,中國文學系,不分類
中國文學系不分類,11044CL1006-*,中國文學系,不分類
中國文學系不分類,11045CL1026-*,中國文學系,不分類
中國文學系不分類,11046CL1064-*,中國文學系,不分類
中國文學系不分類,11047CL1107-*,中國文學系,不分類
中國文學系不分類,11048CL2002-*,中國文學系,不分類
中國文學系不分類,11049CL2004-*,中國文學系,不分類
中國文學系不分類,11050CL2006-*,中國文學系,不分類
中國文學系一年級,00080LN1008-A,中國文學系,一年級
中國文學系一年級,00081LN1008-B,中國文學系,一年級
中國文學系一年級,00082LN1008-C,中國文學系,一年級
中國文學系一年級,01010PE1022-J,中國文學系,一年級
中國文學系一年級,08026SC0004-1,中國文學系,一年級
中國文學系一年級,11017CL0201-A,中國文學系,一年級
中國文學系一年級,11018CL0201-B,中國文學系,一年級
中國文學系一年級,11043CL1004-*,中國文學系,一年級
中國文學系一年級,11044CL1006-*,中國文學系,一年級
中國文學系一年級,11045CL1026-*,中國文學系,一年級
中國文學系一年級,11046CL1064-*,中國文學系,一年級
中國文學系一年級,11053CL2046-*,中國文學系,一年級
中國文學系一年級,11054CL2069-*,中國文學系,一年級
中國文學系一年級,11056CL3077-*,中國文學系,一年級
中國文學系一年級,11057CL3083-*,中國文學系,一年級
中國文學系一年級,11058CL3143-*,中國文學系,一年級
中國文學系一年級,11059CL3144-*,中國文學系,一年級
中國文學系一年級,11066CL4065-*,中國文學系,一年級
中國文學系一年級,11067CL4090-*,中國文學系,一年級
中國文學系一年級,11068CL4096-*,中國文學系,一年級
中國文學系二年級,11048CL2002-*,中國文學系,二年級
中國文學系二年級,11049CL2004-*,中國文學系,二年級
中國文學系二年級,11050CL2006-*,中國文學系,二年級
中國文學系二年級,11051CL2008-*,中國文學系,二年級
中國文學系二年級,11052CL2043-*,中國文學系,二年級
中國文學系二年級,11053CL2046-*,中國文學系,二年級
中國文學系二年級,11054CL2069-*,中國文學系,二年級
中國文學系二年級,11056CL3077-*,中國文學系,二年級
中國文學系二年級,11057CL3083-*,中國文學系,二年級
中國文學系二年級,11058CL3143-*,中國文學系,二年級
中國文學系二年級,11059CL3144-*,中國文學系,二年級
中國文學系二年級,11066CL4065-*,中國文學系,二年級
中國文學系二年級,11067CL4090-*,中國文學系,二年級
中國文學系二年級,11068CL4096-*,中國文學系,二年級
中國文學系三年級,11048CL2002-*,中國文學系,三年級
中國文學系三年級,11049CL2004-*,中國文學系,三年級
中國文學系三年級,11050CL2006-*,中國文學系,三年級
中國文學系三年級,11051CL2008-*,中國文學系,三年級
中國文學系三年級,11053CL2046-*,中國文學系,三年級
中國文學系三年級,11054CL2069-*,中國文學系,三年級
中國文學系三年級,11055CL3066-*,中國文學系,三年級
中國文學系三年級,11056CL3077-*,中國文學系,三年級
中國文學系三年級,11057CL3083-*,中國文學系,三年級
中國文學系三年級,11058CL3143-*,中國文學系,三年級
中國文學系三年級,11059CL3144-*,中國文學系,三年級
中國文學系三年級,11060CL3160-*,中國文學系,三年級
中國文學系三年級,11062CL3163-*,中國文學系,三年級
中國文學系三年級,11063CL3165-*,中國文學系,三年級
中國文學系三年級,11065CL4004-*,中國文學系,三年級
中國文學系三年級,11066CL4065-*,中國文學系,三年級
中國文學系三年級,11067CL4090-*,中國文學系,三年級
中國文學系三年級,11068CL4096-*,中國文學系,三年級
中國文學系三年級,11069CL4104-*,中國文學系,三年級
中國文學系三年級,11070CL6116-*,中國文學系,三年級
中國文學系三年級,11085CL6124-*,中國文學系,三年級
中國文學系四年級,11048CL2002-*,中國文學系,四年級
中國文學系四年級,11049CL2004-*,中國文學系,四年級
中國文學系四年級,11050CL2006-*,中國文學系,四年級
中國文學系四年級,11051CL2008-*,中國文學系,四年級
中國文學系四年級,11053CL2046-*,中國文學系,四年級
中國文學系四年級,11054CL2069-*,中國文學系,四年級
中國文學系四年級,11055CL3066-*,中國文學系,四年級
中國文學系四年級,11056CL3077-*,中國文學系,四年級
中國文學系四年級,11057CL3083-*,中國文學系,四年級
中國文學系四年級,11058CL3143-*,中國文學系,四年級
中國文學系四年級,11059CL3144-*,中國文學系,四年級
中國文學系四年級,11060CL3160-*,中國文學系,四年級
中國文學系四年級,11062CL3163-*,中國文學系,四年級
中國文學系四年級,11063CL3165-*,中國文學系,四年級
中國文學系四年級,11064CL4002-*,中國文學系,四年級
中國文學系四年級,11065CL4004-*,中國文學系,四年級
中國文學系四年級,11066CL4065-*,中國文學系,四年級
中國文學系四年級,11067CL4090-*,中國文學系,四年級
中國文學系四年級,11068CL4096-*,中國文學系,四年級
中國文學系四年級,11069CL4104-*,中國文學系,四年級
中國文學系四年級,11070CL6116-*,中國文學系,四年級
中國文學系四年級,11085CL6124-*,中國文學系,四年級
英美語文學系一年級,01011PE1022-K,英美語文學系,一年級
英美語文學系一年級,08001SC0004-A,英美語文學系,一年級
英美語文學系一年級,11025CL0201-I,英美語文學系,一年級
英美語文學系一年級,11026CL0201-J,英美語文學系,一年級
英美語文學系一年級,11027CL0201-K,英美語文學系,一年級
英美語文學系一年級,11028CL0201-L,英美語文學系,一年級
英美語文學系一年級,11029CL0201-M,英美語文學系,一年級
英美語文學系一年級,11030CL0201-N,英美語文學系,一年級
英美語文學系一年級,12001EL1035-*,英美語文學系,一年級
英美語文學系一年級,12002EL1066-*,英美語文學系,一年級
英美語文學系一年級,12003EL1203-*,英美語文學系,一年級
英美語文學系一年級,12004EL1204-A,英美語文學系,一年級
英美語文學系一年級,12005EL1204-B,英美語文學系,一年級
英美語文學系一年級,12006EL1204-C,英美語文學系,一年級
英美語文學系一年級,12008EL2014-*,英美語文學系,一年級
英美語文學系一年級,12021EL4088-*,英美語文學系,一年級
英美語文學系二年級,12007EL2005-*,英美語文學系,二年級
