course_id,day,time,classroom
11001CL0126-*,四,3,C2-106
11001CL0126-*,四,4,C2-106
11001CL0126-*,二,2,C2-106
11002CL0127-A,三,3,C2-101
11002CL0127-A,三,4,C2-101
11002CL0127-A,一,5,C2-101
11003CL0127-B,四,3,C2-101
11003CL0127-B,四,4,C2-101
11003CL0127-B,二,2,C2-101
11004CL0127-C,五,3,C2-101
11004CL0127-C,五,4,C2-101
11004CL0127-C,三,5,C2-101
11005CL0128-*,三,3,C2-113
11005CL0128-*,三,4,C2-113
11005CL0128-*,五,5,C2-113
11006CL0131-*,三,3,C2-110
11006CL0131-*,三,4,C2-110
11006CL0131-*,一,5,C2-110
11007CL0132-*,二,2,C2-110
11007CL0132-*,四,3,C2-110
11007CL0132-*,四,4,C2-110
11008CL0133-*,一,6,C2-110
11008CL0133-*,五,3,TR-A205
11008CL0133-*,五,4,TR-A205
11009CL0134-*,三,3,C2-107
11009CL0134-*,三,4,C2-107
11009CL0134-*,一,5,C2-107
11010CL0137-*,五,3,C2-110
11010CL0137-*,五,4,C2-110
11010CL0137-*,三,5,C2-110
11011CL0139-*,三,3,C2-106
11011CL0139-*,三,4,C2-106
11011CL0139-*,一,5,C2-106
11012CL0143-*,四,3,C2-111
11012CL0143-*,四,4,C2-111
11012CL0143-*,二,2,C2-111
11013CL0144-*,三,3,TR-A204
11013CL0144-*,三,4,TR-A204
11013CL0144-*,五,5,C2-106
11014CL0148-*,五,3,TR-A204
11014CL0148-*,五,4,TR-A204
11014CL0148-*,三,5,C2-113
11015CL0149-*,二,2,C2-113
11015CL0149-*,四,3,C2-113
11015CL0149-*,四,4,C2-113
11016CL0151-*,五,3,C2-106
11016CL0151-*,五,4,C2-106
11016CL0151-*,三,5,C2-106
11017CL0201-A,四,3,A-103
11017CL0201-A,四,4,A-103
11018CL0201-B,四,3,A-109
11018CL0201-B,四,4,A-109
11019CL0201-C,三,3,A-109
11019CL0201-C,三,4,A-109
11020CL0201-D,三,3,A-103
11020CL0201-D,三,4,A-103
11021CL0201-E,三,3,A-105
11021CL0201-E,三,4,A-105
11022CL0201-F,三,3,TR-A206
11022CL0201-F,三,4,TR-A206
11023CL0201-G,三,3,TR-A202
11023CL0201-G,三,4,TR-A202
11024CL0201-H,三,3,A-112
11024CL0201-H,三,4,A-112
11025CL0201-I,四,3,TR-A202
11025CL0201-I,四,4,TR-A202
11026CL0201-J,四,3,S1-518
11026CL0201-J,四,4,S1-518
11027CL0201-K,四,3,TR-A206
11027CL0201-K,四,4,TR-A206
11028CL0201-L,四,3,A-112
11028CL0201-L,四,4,A-112
11029CL0201-M,四,3,E-134
11029CL0201-M,四,4,E-134
11030CL0201-N,四,3,E-358
11030CL0201-N,四,4,E-358
11031CL0201-O,五,3,A-103
11031CL0201-O,五,4,A-103
11032CL0201-P,五,3,A-109
11032CL0201-P,五,4,A-109
11033CL0201-Q,五,3,M-327
11033CL0201-Q,五,4,M-327
11034CL0201-R,五,3,E2-305
11034CL0201-R,五,4,E2-305
11035CL0201-S,五,3,E2-306
11035CL0201-S,五,4,E2-306
11036CL0201-T,五,3,E2-307
11036CL0201-T,五,4,E2-307
11037CL0201-U,五,3,M-328
11037CL0201-U,五,4,M-328
11038CL0201-V,五,3,TR-A202
11038CL0201-V,五,4,TR-A202
11039CL0201-W,五,3,I1-307
